insertion,passing_units,num_sites,passing_per_site,source
756781561,7,54,0.12962962962962962,Allen
757904510,20,79,0.25316455696202533,Allen
757904520,11,84,0.13095238095238096,Allen
757904522,9,98,0.09183673469387756,Allen
757904554,9,61,0.14754098360655737,Allen
757984818,43,107,0.40186915887850466,Allen
757984826,61,110,0.5545454545454546,Allen
757984830,6,88,0.06818181818181818,Allen
760213142,2,57,0.03508771929824561,Allen
760213150,8,84,0.09523809523809523,Allen
760640037,47,128,0.3671875,Allen
760640039,54,97,0.5567010309278351,Allen
760640043,58,116,0.5,Allen
760640049,42,99,0.42424242424242425,Allen
760640087,37,100,0.37,Allen
760640097,48,108,0.4444444444444444,Allen
760647913,43,99,0.43434343434343436,Allen
768908582,25,78,0.32051282051282054,Allen
768908585,28,53,0.5283018867924528,Allen
768908589,25,81,0.30864197530864196,Allen
769322747,27,55,0.4909090909090909,Allen
769322751,10,58,0.1724137931034483,Allen
769322753,62,133,0.46616541353383456,Allen
769322797,43,91,0.4725274725274725,Allen
769322860,46,89,0.5168539325842697,Allen
769325781,12,72,0.16666666666666666,Allen
769326329,4,82,0.04878048780487805,Allen
770930077,23,38,0.6052631578947368,Allen
773462990,26,91,0.2857142857142857,Allen
773462997,11,54,0.2037037037037037,Allen
773463015,7,93,0.07526881720430108,Allen
773463017,39,67,0.582089552238806,Allen
773463023,13,61,0.21311475409836064,Allen
773592320,65,71,0.9154929577464789,Allen
773592328,76,91,0.8351648351648352,Allen
773621948,24,67,0.3582089552238806,Allen
792586887,48,98,0.4897959183673469,Allen
792607547,7,57,0.12280701754385964,Allen
792607557,6,61,0.09836065573770492,Allen
792607559,15,53,0.2830188679245283,Allen
792626853,22,54,0.4074074074074074,Allen
792626855,3,65,0.046153846153846156,Allen
792645501,41,73,0.5616438356164384,Allen
792676162,37,62,0.5967741935483871,Allen
800036206,28,91,0.3076923076923077,Allen
805002027,11,54,0.2037037037037037,Allen
805008608,13,60,0.21666666666666667,Allen
805008610,22,77,0.2857142857142857,Allen
805124804,33,65,0.5076923076923077,Allen
805579710,38,67,0.5671641791044776,Allen
805579713,11,60,0.18333333333333332,Allen
805579749,24,81,0.2962962962962963,Allen
805579753,10,67,0.14925373134328357,Allen
810753203,14,62,0.22580645161290322,Allen
810755801,58,103,0.5631067961165048,Allen
810755803,33,84,0.39285714285714285,Allen
810755805,54,112,0.48214285714285715,Allen
810758785,56,69,0.8115942028985508,Allen
820311762,49,86,0.5697674418604651,Allen
820311764,17,59,0.288135593220339,Allen
836943721,42,106,0.39622641509433965,Allen
836962824,58,115,0.5043478260869565,Allen
841431758,15,58,0.25862068965517243,Allen
848037578,37,59,0.6271186440677966,Allen
868297127,26,50,0.52,Allen
868297131,39,60,0.65,Allen
